"id","run_id","model","data","threshold_notes","pipeline_notes","hyperparam_notes","notes","roc_auc","accuracy","precision","recall","f1","tn","tp","fp","fn","created_at","est_pp_savings"
"1","0","sgd","validate","base","under_sample","tuned best roc","","0.6414242715758318","0.6624086057651903","0.15499877180054042","0.5223509933774835","0.23906042811138473","7251","631","3440","577","2025-10-24 20:42:03.78771","0"
"2","0","sgd","test","f2_weighted","under_sample","tuned best ROC","","0.6697405308843651","0.40349691696933865","0.12045717221009375","0.8149435273675065","0.2098903557842918","3839","938","6849","213","2025-10-24 20:42:04.117129","0"
"3","0","svc","validate","base","under_sample","tuned best roc","","0.6363835150070525","0.6973695268509958","0.1621011013837899","0.47516556291390727","0.24173510212676352","7724","574","2967","634","2025-10-24 20:45:38.423849","0"
"4","0","svc","test","f2_weighted","under_sample","tuned best roc","","0.6695853514517446","0.3488470309992398","0.11568213783403657","0.8575152041702867","0.20386243932665496","3143","987","7545","164","2025-10-24 20:45:44.812281","0"
"5","0","sgd","train","base","under_sample","None","","0.5896666362232262",,,,,,,,,"2025-10-24 20:41:12.994986","0"
"6","0","sgd","train","base","SMOTE","None","","0.5551387371348009",,,,,,,,,"2025-10-24 20:41:20.883584","0"
"9","0","svc","train","base","under_sample","None","","0.6441716021405917",,,,,,,,,"2025-10-24 20:42:18.749988","0"
"12","0","rf","train","base","under_sample","None","None","0.6395627610240409",,,,,,,,,"2025-10-24 20:46:50.391366","0"
"13","0","rf","train","base","SMOTE","None","None","0.5943078745083152",,,,,,,,,"2025-10-24 20:47:02.478587","0"
"14","0","rf","validate","base","under_sample","tuned_best_roc_auc","None","0.6397471940562743","0.6422388436003026","0.15186115551495774","0.5504966887417219","0.23805262215858242","6977","665","3714","543","2025-10-24 20:48:17.161485","0"
"15","0","rf","test","f2_weighted","under_sample","tuned_best_roc_auc","None","0.6775471374800355","0.4333136244615255","0.12425635478637101","0.7984361424847958","0.21504621504621504","4211","919","6477","232","2025-10-24 20:48:17.813859","0"
"16","0","rf+int","validate","base","under_sample","tuned_best_roc_auc","None","0.6407613849861956","0.6531641314396168","0.153572276287681","0.5355960264900662","0.23870134661501569","7125","647","3566","561","2025-10-24 20:49:29.143402","0"
"17","0","xgboost","train","base","under_sample","None","first pass","0.59922026924701",,,,,,,,,"2025-10-24 20:54:31.336401","0"
"18","0","xgboost","train","base","SMOTE","None","first pass","0.5765526620064103",,,,,,,,,"2025-10-24 20:54:42.624712","0"
