"id","run_id","model","hyperparam_text","created_at"
"34","6","svc","{'model__C': np.float64(0.1767016940294795), 'model__gamma': 0.001}","2025-10-28 17:41:20.861414"
"35","6","xgb","{'model__colsample_bytree': np.float64(0.587477463547968), 'model__gamma': np.float64(4.910841716647178), 'model__learning_rate': np.float64(0.06166358912710143), 'model__max_depth': 4, 'model__min_child_weight': 2, 'model__n_estimators': 1896, 'model__reg_alpha': np.float64(4.4845552058286884e-08), 'model__reg_lambda': np.float64(4.916400722913763), 'model__scale_pos_weight': 8.9494, 'model__subsample': np.float64(0.9502090285816652)}","2025-10-28 17:49:49.264026"
"36","8","rf","{'model__oob_score': False, 'model__n_estimators': 100, 'model__min_samples_split': 15, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': None, 'model__bootstrap': True}","2025-10-28 19:16:58.557962"
"37","8","sgd","{'model__tol': 0.0001, 'model__shuffle': True, 'model__penalty': 'l1', 'model__max_iter': 500, 'model__loss': 'modified_huber', 'model__learning_rate': 'invscaling', 'model__l1_ratio': 0.9, 'model__eta0': 0.003, 'model__class_weight': None, 'model__average': 10, 'model__alpha': 0.001}","2025-10-28 20:21:02.180916"
"38","8","svc","{'model__C': np.float64(0.6317967091932509), 'model__gamma': 0.001}","2025-10-28 20:34:10.545539"
"39","8","xgb","{'model__colsample_bytree': np.float64(0.587477463547968), 'model__gamma': np.float64(4.910841716647178), 'model__learning_rate': np.float64(0.06166358912710143), 'model__max_depth': 4, 'model__min_child_weight': 2, 'model__n_estimators': 1896, 'model__reg_alpha': np.float64(4.4845552058286884e-08), 'model__reg_lambda': np.float64(4.916400722913763), 'model__scale_pos_weight': 8.9494, 'model__subsample': np.float64(0.9502090285816652)}","2025-10-28 19:38:36.695085"
"42","9","rf","{'model__oob_score': True, 'model__n_estimators': 200, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': None, 'model__bootstrap': True}","2025-10-28 22:41:03.348046"
"43","9","sgd","{'model__tol': 0.0001, 'model__shuffle': True, 'model__penalty': 'l1', 'model__max_iter': 500, 'model__loss': 'modified_huber', 'model__learning_rate': 'invscaling', 'model__l1_ratio': 0.9, 'model__eta0': 0.003, 'model__class_weight': None, 'model__average': 10, 'model__alpha': 0.001}","2025-10-28 22:42:16.708188"
"44","9","svc","{'model__C': np.float64(2.3973382079286494), 'model__gamma': 0.001}","2025-10-28 22:53:41.527832"
"45","9","xgb","{'model__colsample_bytree': np.float64(0.6521211214797689), 'model__gamma': np.float64(2.6237821581611893), 'model__learning_rate': np.float64(0.05319450186421158), 'model__max_depth': 4, 'model__min_child_weight': 3, 'model__n_estimators': 2082, 'model__reg_alpha': np.float64(6.295450333384239e-06), 'model__reg_lambda': np.float64(0.013803746963532811), 'model__scale_pos_weight': 8.9494, 'model__subsample': np.float64(0.9868777594207296)}","2025-10-28 22:56:35.019213"
"46","10","rf","{'model__oob_score': True, 'model__n_estimators': 200, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': None, 'model__bootstrap': True}","2025-10-29 17:21:26.679144"
"47","10","sgd","{'model__tol': 0.0001, 'model__shuffle': True, 'model__penalty': 'l1', 'model__max_iter': 500, 'model__loss': 'modified_huber', 'model__learning_rate': 'invscaling', 'model__l1_ratio': 0.9, 'model__eta0': 0.003, 'model__class_weight': None, 'model__average': 10, 'model__alpha': 0.001}","2025-10-29 17:23:05.104819"
"48","10","svc","{'model__C': np.float64(2.3973382079286494), 'model__gamma': 0.001}","2025-10-29 15:56:26.471365"
"49","10","xgb","{'model__subsample': 0.6, 'model__scale_pos_weight': 4, 'model__min_child_weight': 2, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0, 'model__colsample_bytree': 0.8}","2025-10-29 17:25:06.638425"
"54","11","rf","{'model__oob_score': True, 'model__n_estimators': 200, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': None, 'model__bootstrap': True}","2025-10-29 21:50:47.723941"
"55","12","rf","{'model__oob_score': True, 'model__n_estimators': 200, 'model__min_samples_split': 15, 'model__min_samples_leaf': 6, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': None, 'model__bootstrap': True}","2025-10-29 22:09:59.412214"
"56","12","sgd","{'model__tol': 0.0001, 'model__shuffle': True, 'model__penalty': 'l1', 'model__max_iter': 500, 'model__loss': 'modified_huber', 'model__learning_rate': 'invscaling', 'model__l1_ratio': 0.9, 'model__eta0': 0.003, 'model__class_weight': None, 'model__average': 10, 'model__alpha': 0.001}","2025-10-29 22:10:44.32604"
"57","12","svc","{'model__C': np.float64(2.3973382079286494), 'model__gamma': 0.001}","2025-10-29 22:21:54.047365"
"58","12","xgb","{'model__subsample': 0.6, 'model__scale_pos_weight': 4, 'model__min_child_weight': 2, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0, 'model__colsample_bytree': 0.8}","2025-10-29 22:22:54.769936"
